,CO_ENTIDADE,NO_ENTIDADE,END,BAIRRO,LAT,LON,CEP,MUN,UF,PAIS,CO_MUNICIPIO,TP_DEPENDENCIA,IN_CONVENIADA_PP,IN_AGUA_FILTRADA,IN_ESGOTO_REDE_PUBLICA,IN_LABORATORIO_INFORMATICA,IN_LABORATORIO_CIENCIAS,IN_QUADRA_ESPORTES,IN_BIBLIOTECA,IN_PARQUE_INFANTIL,IN_DEPENDENCIAS_PNE,IN_PATIO_COBERTO,IN_PATIO_DESCOBERTO,IN_INTERNET,QT_FUNCIONARIOS,IN_ALIMENTACAO,TP_AEE,TP_ATIVIDADE_COMPLEMENTAR,IN_ESPECIAL_EXCLUSIVA,IN_PROFISSIONALIZANTE,IDEB14_17,PROJ14_17,IDEB58_17,PROJ58_17,docentes,docentes_superior,docentes_especializ,docentes_mestrado,docentes_doutorado,docentes_posnenhum,docentes_continuada,IN_BRAILLE,IN_RECURSOS_BAIXA_VISAO,IN_PROCESSOS_MENTAIS,IN_ORIENTACAO_MOBILIDADE,IN_SINAIS,IN_COMUNICACAO_ALT_AUMENT,IN_ENRIQ_CURRICULAR,IN_SOROBAN,IN_INFORMATICA_ACESSIVEL,IN_PORT_ESCRITA,IN_AUTONOMIA_ESCOLAR,IN_DISC_LINGUA_INGLES,IN_DISC_LINGUA_ESPANHOL,IN_DISC_LINGUA_FRANCES,IN_DISC_ATENDIMENTO_ESPECIAIS,IN_DISC_DIVER_SOCIO_CULTURAL,ID_MATRICULA,CO_ESCOLA,media_enem,NU_DDD,NU_TELEFONE,ATU_INF,ATU_FUN,ATU_MED,tap_F14,tap_F04,tap_FUN,tap_MED,tre_FUN,tre_F14,tre_F04,tre_MED,tab_FUN,tab_F14,tab_F04,tab_MED,TDI_FUN,TDI_MED
304,43106943,COL ESTADUAL PARANA,"Avenida Taquarí, 394, Cristal, Porto Alegre - RS, 90810-180, Brazil",Cristal,-30.0780349,-51.2418214,90810-180,Porto Alegre,RS,BRA,4314902,2,,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,39.0,1.0,0.0,0.0,0.0,0.0,,5.3,,5.1,30,30,11,0,0,19,13,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,576,43106943.0,307.909696969697,51,32495889,,22.4,21.4,82.8,52.9,67.0,58.7,33.0,17.2,47.1,40.0,0.0,0.0,0.0,1.3,35.2,46.0
305,43106951,ESC EST ENS FUN VICENTE DA FONTOURA,"Avenida Edgar Pires de Castro, 5579, Lageado, Porto Alegre - RS, 91787-000, Brazil",Lageado,-30.199640399999996,-51.12607620000001,91787-000,Porto Alegre,RS,BRA,4314902,2,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,30.0,1.0,1.0,0.0,0.0,0.0,,5.7,,3.9,17,17,6,0,0,11,6,0,0,1,1,0,1,1,0,1,0,1,1,0,0,0,0,383,,,51,32482287,,23.9,,84.4,79.4,82.5,,16.4,14.7,19.1,,1.1,0.9,1.5,,24.8,
306,43106960,ESC EST ENS FUN PAULINA MORESCO,"Rua Tomé Antônio de Souza, 160, Campo Novo, Porto Alegre - RS, 91750-170, Brazil",Campo Novo,-30.13356,-51.19807,91750-170,Porto Alegre,RS,BRA,4314902,2,,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,37.0,1.0,0.0,0.0,0.0,0.0,,5.1,,5.3,23,21,11,0,0,10,13,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,555,,,51,32612036,,24.1,,90.5,86.0,88.3,,11.5,9.5,13.6,,0.2,0.0,0.4,,23.6,
307,43106978,ESC EST ENS FUN PADRE THEODORO AMSTAD,"Rua Valentim Vicentini, 255, Passo da Areia, Porto Alegre - RS, 90520-220, Brazil",Passo da Areia,-30.016340000000003,-51.17732,90520-220,Porto Alegre,RS,BRA,4314902,2,,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,12.0,1.0,0.0,0.0,0.0,0.0,5.4,5.9,4.5,5.2,8,7,3,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,92,,,51,33416002,,15.3,,90.9,77.4,81.0,,15.5,4.5,19.4,,3.5,4.6,3.2,,34.8,
308,43106986,ESC EST ENS FUN PEDRO AMERICO,"Estrada Chapéu do Sol, 1680, Chapéu do Sol, Porto Alegre - RS, 91787-030, Brazil",Chapéu do Sol,-30.18325,-51.16233,91787-030,Porto Alegre,RS,BRA,4314902,2,,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,27.0,1.0,0.0,0.0,0.0,0.0,4.9,4.9,3.9,5.5,15,15,7,0,0,8,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,363,,,51,-,,22.7,,77.2,68.0,73.2,,26.8,22.8,32.0,,0.0,0.0,0.0,,34.2,
309,43106994,ESC EST ENS FUN PEDRO SIRANGELO,"Avenida José Corrêa da Silva, 388, Cavalhada, Porto Alegre - RS, 91740-380, Brazil",Cavalhada,-30.1068184,-51.2238546,91740-380,Porto Alegre,RS,BRA,4314902,2,,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,31.0,1.0,0.0,0.0,0.0,0.0,6.1,5.4,,4.4,19,19,9,0,0,10,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,358,,,51,-,,22.4,,89.1,73.0,81.9,,17.0,10.0,25.8,,1.1,0.9,1.2,,38.8,
310,43107001,ESC EST ENS FUN PIAUI,"Rua Gregório da Fonseca, 91, Nonoai, Porto Alegre - RS, 90830-260, Brazil",Nonoai,-30.088540000000002,-51.22378,90830-260,Porto Alegre,RS,BRA,4314902,2,,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,30.0,1.0,1.0,0.0,0.0,0.0,,4.3,,,16,14,6,0,0,8,5,0,0,1,0,0,1,1,0,1,0,1,1,0,0,0,0,280,,,51,32662033,,17.5,,77.8,50.9,67.4,,32.6,22.2,49.1,,0.0,0.0,0.0,,35.4,
311,43107036,ESC EST ENS FUN PORTO ALEGRE,"Rua João Dallegrave, Morro Santana, Porto Alegre - RS, 91260-170, Brazil",Morro Santana,-30.0368,-51.123129999999996,91260-170,Porto Alegre,RS,BRA,4314902,2,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,33.0,1.0,0.0,0.0,0.0,0.0,4.4,5.5,,4.2,24,21,14,1,0,6,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,588,,,51,33877988,,23.5,,77.0,62.2,70.8,,28.7,23.0,36.5,,0.5,0.0,1.3,,42.2,
312,43107044,ESC EST ENS FUN SIMOES LOPES NETO,"Travessa Irmão Pedro, Porto Alegre - RS, 91720-360, Brazil",Teresópolis,-30.08555,-51.20833,91720-360,Porto Alegre,RS,BRA,4314902,2,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,25.0,1.0,0.0,0.0,0.0,0.0,5.9,6.2,,5.1,20,17,8,1,1,8,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,446,,,51,33222548,,24.8,,93.2,81.6,87.8,,12.2,6.8,18.4,,0.0,0.0,0.0,,20.9,
313,43107052,ESC EST ENS FUN GENOVEVA DA COSTA BERNARDES,"Estrada Otaviano José Pinto, 49, Lami, Porto Alegre - RS, 91787-660, Brazil",Lami,-30.2202096,-51.0985359,91787-660,Porto Alegre,RS,BRA,4314902,2,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,27.0,1.0,1.0,0.0,0.0,0.0,4.3,5.3,3.0,4.8,14,11,3,1,0,7,4,0,0,1,0,0,1,1,0,1,0,1,1,0,0,0,0,330,,,51,32585878,,19.4,,80.7,51.9,66.7,,33.3,19.3,48.1,,0.0,0.0,0.0,,38.8,
314,43107060,ESC EST ENS FUN PROFESSOR AFONSO GUERREIRO LIMA,"Rua Banco Inglês, 300, Santa Tereza, Porto Alegre - RS, 90840-600, Brazil",Santa Tereza,-30.073306199999998,-51.2250623,90840-600,Porto Alegre,RS,BRA,4314902,2,,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,26.0,1.0,1.0,0.0,0.0,0.0,,4.4,,3.8,16,15,6,0,0,9,8,0,1,1,1,0,1,1,0,1,0,1,1,0,0,0,0,333,,,51,32320122,,20.8,,79.4,55.0,66.9,,33.1,20.6,45.0,,0.0,0.0,0.0,,47.7,
315,43107079,ESC EST ENS MED PROFESSOR ALCIDES CUNHA,"Rua Hélio Pimpão, 51, Morro Santana, Porto Alegre - RS, 91450-330, Brazil",Morro Santana,-30.039609999999996,-51.123470000000005,91450-330,Porto Alegre,RS,BRA,4314902,2,,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,68.0,1.0,1.0,0.0,0.0,0.0,,6.0,,4.5,48,41,15,0,0,26,12,0,1,1,1,0,1,1,0,1,1,1,1,1,0,0,0,1011,43107079.0,366.22377358490576,51,33861032,,22.7,32.0,89.7,87.8,88.7,72.8,10.5,10.3,10.7,24.2,0.8,0.0,1.5,3.0,28.4,53.1
